Instruction list for ForwardCom instruction set. Version 1.12. 2023-01-01,,,,,,,,,,,,,
Name,Id,Category,Formats,Template,Template variant,Source operands,OP1,OP2,Operand types general purpose registers,Operand types scalar,Operand types vectors,Immediate operand type,Description
nop,0x30000,3,0x00000FFF,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
nop2,0x30200,3,0xFFFFF000,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
nop3,0x30300,3,0xFFFFF00000000,0,D0,0,0,0,0x000F,0xFF,0,0,no operation
store,1,3,0xA0900F0FA3F0,0,M0F0,1,1,0,0x000F,0x906F,0x906F,0,store value of register to memory
move,2,3,-1,0,,1,2,0,0x000F,0x906F,0x906F,0,copy value to register
prefetch,3,3,0xA0900F0FA3F0,0,D1O4,1,3,0,0x000F,0x906F,0x906F,0,prefetch to cache
sign_extend,4,3,-1,0,,1,4,0,0x0007,0x0007,0x0007,0,sign extend to 64 bits
sign_extend_add,5,3,-1,0,O6,2,5,0,0x0F00,0,0,0,"sign extend to 64 bits, scale, and add 64 bit register"
compare_h,0x50007,3,-1,0,O6U3H0F1,2,6,0,0,0x0200,0x0200,0,"compare two operands, return condition code"
compare,7,3,-1,0,O6U3F1,2,7,0,0x000F,0x906F,0x906F,0,"compare two operands, return condition code"
add,8,3,-1,0,,2,8,0,0x000F,0x906F,0x906F,0,addition
sub,9,3,-1,0,,2,9,0,0x000F,0x906F,0x906F,0,subtraction
sub_rev,10,3,-1,0,,2,10,0,0x000F,0x906F,0x906F,0,subtraction. Operands swapped
mul,11,3,-1,0,,2,11,0,0x000F,0x906F,0x9867,0,multiply (low part of result for integer operands)
mul_hi,12,3,-1,0,,2,12,0,0x0B04,0x1B04,0x1F00,0,"multiply signed integers, high part of result"
mul_hi_u,13,3,-1,0,U0,2,13,0,0x0B04,0x1B04,0x1F00,0,"multiply unsigned integers, high part of result"
div,14,3,-1,0,O6H5,2,14,0,0x000F,0x906F,0xFF00,0,division
div_u,15,3,-1,0,O4U0,2,15,0,0x000F,0x100F,0x100F,0,unsigned integer division
div_rev,16,3,-1,0,O6H5,2,16,0,0x000F,0x906F,0xFF00,0,division. Operands swapped
div_rev_u,17,3,-1,0,O4U0,2,17,0,0x000F,0x906F,0xFF00,0,unsigned integer division. Operands swapped
rem,18,3,-1,0,,2,18,0,0x000F,0x906F,0xFF00,0,"remainder or modulo, signed"
rem_u,19,3,-1,0,U0,2,19,0,0x000F,0x000F,0x0F00,0,remainder or modulo for unsigned integers
min,20,3,-1,0,O6U3H5,2,20,0,0x000F,0x906F,0x906F,0,minimum of two numbers
max,21,3,-1,0,O6U3H5,2,21,0,0x000F,0x906F,0x906F,0,maximum of two numbers
and,26,3,-1,0,,2,26,0,0x000F,0x906F,0x906F,0,bitwise and
or,27,3,-1,0,,2,27,0,0x000F,0x906F,0x906F,0,bitwise and
xor,28,3,-1,0,,2,28,0,0x000F,0x906F,0x906F,0,bitwise exclusive or
shift_left,32,3,0x7F7F0FFFFAFFF,0,I2,2,32,0,0x100F,0x100F,0x100F,0,shift integer bits left
mul_2pow,32,3,0x7F7F0FFFFAFFF,0,I2,2,32,0,0x0000,0x8060,0x8060,0,Multiply float by power of 2
rotate,33,3,0x7F7F0FFFFAFFF,0,I2,2,33,0,0x100F,0x100F,0x100F,0,"rotate bits left if src2 positive, right if negative"
shift_right_s,34,3,0x7F7F0FFFFAFFF,0,I2,2,34,0,0x100F,0x100F,0x100F,0,shift integer bits right with sign extension
shift_right_u,35,3,0x7F7F0FFFFAFFF,0,I2U0,2,35,0,0x100F,0x100F,0x100F,0,shift integer bits right with sign extension
clear_bit,36,3,0x7F7F0FFFFAFFF,0,I2,2,36,0,0x000F,0x906F,0x906F,0,clear single bit
set_bit,37,3,0x7F7F0FFFFAFFF,0,I2,2,37,0,0x000F,0x906F,0x906F,0,set single bit
toggle_bit,38,3,0x7F7F0FFFFAFFF,0,I2,2,38,0,0x000F,0x906F,0x906F,0,toggle single bit
test_bit,39,3,-1,0,O5F1I2,2,39,0,0x000F,0x906F,0x906F,0,test one bit
test_bits_and,40,3,-1,0,O5F1I2,2,40,0,0x000F,0x906F,0x906F,0,test if all the indicated bits are one
test_bits_or,41,3,-1,0,O5F1I2,2,41,0,0x000F,0x906F,0x906F,0,test if at least one of the indicated bits is one
add_h,0x50008,3,-1,0,H0,2,44,0,0,0x0200,0x0200,0,add half precision floating point vectors
sub_h,0x50009,3,-1,0,H0,2,45,0,0,0x0200,0x0200,0,subtract half precision floating point vectors
